[2023-08-16 14:26:54,608] werkzeug - WARNING -  * Debugger is active!
[2023-08-16 14:26:54,614] werkzeug - INFO -  * Debugger PIN: 485-290-410
[2023-08-16 14:26:54,663] werkzeug - INFO -  * Detected change in 'd:\\study\\ml_pipeline\\delivery_time_prediction\\env\\Lib\\site-packages\\pandas\\core\\internals\\managers.py', reloading
[2023-08-16 14:26:54,664] werkzeug - INFO -  * Detected change in 'D:\\Study\\ml_pipeline\\delivery_time_prediction\\env\\Lib\\site-packages\\pandas\\core\\internals\\managers.py', reloading
[2023-08-16 14:26:54,671] werkzeug - INFO -  * Detected change in 'd:\\study\\ml_pipeline\\delivery_time_prediction\\env\\Lib\\site-packages\\pandas\\core\\internals\\ops.py', reloading
[2023-08-16 14:26:54,671] werkzeug - INFO -  * Detected change in 'D:\\Study\\ml_pipeline\\delivery_time_prediction\\env\\Lib\\site-packages\\pandas\\core\\internals\\ops.py', reloading
[2023-08-16 14:26:54,682] werkzeug - INFO -  * Detected change in 'd:\\study\\ml_pipeline\\delivery_time_prediction\\env\\Lib\\site-packages\\pandas\\core\\methods\\describe.py', reloading
[2023-08-16 14:26:54,682] werkzeug - INFO -  * Detected change in 'D:\\Study\\ml_pipeline\\delivery_time_prediction\\env\\Lib\\site-packages\\pandas\\core\\methods\\describe.py', reloading
[2023-08-16 14:26:54,693] werkzeug - INFO -  * Detected change in 'd:\\study\\ml_pipeline\\delivery_time_prediction\\env\\Lib\\site-packages\\pandas\\core\\methods\\selectn.py', reloading
[2023-08-16 14:26:54,693] werkzeug - INFO -  * Detected change in 'D:\\Study\\ml_pipeline\\delivery_time_prediction\\env\\Lib\\site-packages\\pandas\\core\\methods\\selectn.py', reloading
[2023-08-16 14:26:54,706] werkzeug - INFO -  * Detected change in 'd:\\study\\ml_pipeline\\delivery_time_prediction\\env\\Lib\\site-packages\\pandas\\core\\methods\\to_dict.py', reloading
[2023-08-16 14:26:54,707] werkzeug - INFO -  * Detected change in 'D:\\Study\\ml_pipeline\\delivery_time_prediction\\env\\Lib\\site-packages\\pandas\\core\\methods\\to_dict.py', reloading
